"Date","Price","Open","High","Low","Vol.","Change %"
"11/19/2025","344.64","341.71","345.32","340.74","2.01M","1.17%"
"11/18/2025","340.66","336.85","343.73","334.10","4.22M","-0.17%"
"11/17/2025","341.25","356.22","358.23","339.40","3.60M","-4.46%"
"11/14/2025","357.18","361.80","362.20","355.40","2.94M","-2.07%"
"11/13/2025","364.73","371.09","373.89","363.34","2.27M","-2.16%"
"11/12/2025","372.77","371.11","377.23","370.51","2.96M","0.71%"
"11/11/2025","370.16","367.89","373.08","366.26","2.13M","0.62%"
"11/10/2025","367.88","369.48","371.80","362.76","2.88M","-0.18%"
"11/07/2025","368.54","364.14","370.00","361.00","2.75M","0.77%"
"11/06/2025","365.73","366.04","369.26","362.41","2.35M","-0.02%"
"11/05/2025","365.80","359.69","367.82","356.41","2.20M","1.47%"
"11/04/2025","360.49","359.32","362.54","356.85","1.89M","-0.31%"
"11/03/2025","361.62","361.00","363.54","358.85","1.82M","0.25%"
"10/31/2025","360.73","357.00","361.99","356.00","2.16M","0.52%"
"10/30/2025","358.88","358.59","365.75","357.96","2.05M","0.18%"
"10/29/2025","358.22","359.00","362.00","355.88","1.84M","-0.78%"
"10/28/2025","361.03","361.22","362.53","359.44","1.42M","-0.18%"
"10/27/2025","361.67","362.00","362.84","358.91","2.18M","1.15%"
"10/24/2025","357.56","358.40","362.32","356.87","2.40M","0.74%"
"10/23/2025","354.93","352.72","356.18","350.55","1.89M","0.83%"
"10/22/2025","352.00","355.28","357.73","349.18","2.71M","-0.91%"
"10/21/2025","355.22","352.09","356.67","350.79","2.66M","1.64%"
"10/20/2025","349.48","347.39","350.22","342.65","3.47M","0.83%"
"10/17/2025","346.62","332.38","348.70","331.00","7.03M","7.27%"
"10/16/2025","323.12","331.02","332.50","320.00","3.27M","-2.28%"
"10/15/2025","330.66","333.86","336.92","330.28","2.19M","-0.66%"
"10/14/2025","332.85","321.61","336.33","320.50","2.81M","3.01%"
"10/13/2025","323.12","319.17","324.36","319.06","1.69M","2.17%"
"10/10/2025","316.26","325.20","328.10","315.95","2.68M","-2.52%"
"10/09/2025","324.44","326.48","328.31","324.05","2.10M","0.19%"
"10/08/2025","323.82","328.67","329.15","323.58","2.18M","-1.27%"
"10/07/2025","327.97","332.65","334.94","325.74","1.71M","-1.21%"
"10/06/2025","331.99","332.00","334.00","326.25","2.12M","0.53%"
"10/03/2025","330.24","332.00","332.04","328.72","2.40M","-0.07%"
"10/02/2025","330.48","328.45","331.98","326.28","1.91M","0.58%"
"10/01/2025","328.56","331.00","335.77","328.40","2.60M","-1.08%"
"09/30/2025","332.16","341.60","342.96","328.15","3.33M","-2.97%"
"09/29/2025","342.31","343.76","344.85","338.50","1.66M","0.18%"
"09/26/2025","341.68","341.45","343.33","339.02","1.73M","0.44%"
"09/25/2025","340.18","336.91","340.77","334.00","2.22M","-0.09%"
"09/24/2025","340.48","342.97","345.00","338.51","2.28M","-0.29%"
"09/23/2025","341.47","341.94","349.19","340.01","2.70M","0.14%"
"09/22/2025","340.98","339.51","345.51","338.38","3.33M","-0.04%"
"09/19/2025","341.12","342.53","344.36","339.72","8.63M","-0.16%"
"09/18/2025","341.67","338.50","342.47","335.00","3.20M","1.69%"
"09/17/2025","336.00","328.90","337.50","328.40","3.59M","2.74%"
"09/16/2025","327.04","327.80","327.99","323.70","1.99M","-0.07%"
"09/15/2025","327.26","326.05","330.27","326.00","1.65M","0.60%"
"09/12/2025","325.31","329.60","329.60","324.05","2.00M","-1.22%"
"09/11/2025","329.32","323.50","330.69","322.42","2.83M","1.85%"
"09/10/2025","323.35","322.99","324.65","321.24","1.85M","-0.31%"
"09/09/2025","324.34","322.79","326.59","320.80","2.06M","-0.33%"
"09/08/2025","325.41","326.51","327.45","324.00","2.26M","-0.25%"
"09/05/2025","326.22","330.69","332.46","325.23","2.97M","-1.34%"
"09/04/2025","330.65","325.00","331.04","322.82","2.49M","2.14%"
"09/03/2025","323.71","330.75","332.07","321.41","3.44M","-2.26%"
"09/02/2025","331.18","326.66","331.38","322.71","3.23M","-0.03%"
"08/29/2025","331.28","327.28","332.06","326.80","2.98M","1.31%"
"08/28/2025","326.99","323.99","327.54","322.00","2.20M","1.40%"
"08/27/2025","322.46","319.92","323.52","319.51","1.97M","0.58%"
